id,question,option_a,option_b,option_c,option_d,correct_option,explanation,topic,difficulty
1,Que signifie l'acronyme MCD dans la méthode Merise ?,Modèle Conceptuel de Données,Modèle Conceptuel de Développement,Modèle de Calcul Distribué,Modèle de Conception Détaillée,A,MCD = Modèle Conceptuel de Données.,Merise - MCD,Moyen
2,"Dans un MCD, une entité est représentée par :",Un rectangle,Un losange,Un cercle,Un triangle,A,"En Merise, les entités sont classiquement représentées par des rectangles.",Merise - Notation,Moyen
3,"Dans Merise, une association représente :",Une relation entre entités,Un attribut composé,Une clé primaire,Un schéma logique,A,Une association relie deux (ou plusieurs) entités.,Merise - Concepts,Moyen
4,Qu'est-ce qu'un attribut dérivé ?,Un attribut calculé à partir d'autres,Un attribut qui ne peut être nul,Une clé étrangère,Un type d'entité,A,Un attribut dérivé est calculable à partir d'autres attributs.,Merise - Attributs,Moyen
5,"Une cardinalité '0,N' signifie :",Zéro à plusieurs,Une seule,Exactement zéro,Zéro ou un,A,"0,N signifie 'zéro à plusieurs'.",Merise - Cardinalités,Moyen
6,"Dans Merise, la transformation MCD -> MLD produit :",Modèle Logique des Données,Modèle Linéaire des Données,Modèle Législatif des Données,Modèle Local des Données,A,MLD = Modèle Logique des Données.,Merise - Processus,Moyen
7,Quel est le rôle de la clé primaire ?,Identifier de façon unique une occurrence,Calculer les agrégats,Gérer les transactions,Représenter une association,A,La clé primaire identifie de façon unique.,BD - Clés,Moyen
8,Une association faible (ou dépendante) nécessite :,La présence d'une entité propriétaire,Une clé primaire longue,Un attribut dérivé,Une table temporaire,A,Une entité dépendante est liée à une entité propriétaire.,Merise - Associations,Moyen
9,"Dans Merise, un attribut multi-valué est :",Un attribut pouvant prendre plusieurs valeurs,Un attribut obligatoire,Un type d'association,Un identifiant,A,Multi-valué signifie plusieurs valeurs possibles pour une occurrence.,Merise - Attributs,Moyen
10,Quel élément n'appartient pas au MCD ?,Détails d'implémentation (types SQL),Entités,Associations,Attributs,A,Le MCD est conceptuel et n'inclut pas les détails d'implémentation.,Merise - Niveaux,Moyen
11,"Dans un MCD, un identifiant composé est constitué de :",Plusieurs attributs,Une seule entité,Un seul attribut obligatoire,Une association ternaire,A,Un identifiant composé utilise plusieurs attributs.,Merise - Identifiants,Moyen
12,"Dans un MCD, un identifiant composé est constitué de : (v2)",Plusieurs attributs,Une seule entité,Un seul attribut obligatoire,Une association ternaire,A,Un identifiant composé utilise plusieurs attributs.,Merise - Identifiants,Moyen
13,La notion d'héritage en Merise est généralement modélisée par :,Spécialisation / généralisation,Association forte,Attribut dérivé,Clé étrangère circulaire,A,Héritage = spécialisation/généralisation.,Merise - Héritage,Moyen
