id,question,option_a,option_b,option_c,option_d,correct_option,explanation,topic,difficulty
1116,Quelle commande Linux affiche le contenu d'un fichier ?,cat,ls,pwd,rm,A,cat affiche le contenu.,Linux - Commandes,Moyen
1117,Quel protocole sécurise les communications HTTP ?,HTTPS,FTP,SMTP,TELNET,A,HTTPS = HTTP over TLS/SSL.,Web - Protocoles,Moyen
1118,Quel port par défaut utilise HTTPS ?,443,80,22,21,A,HTTPS utilise le port 443 par défaut.,Réseau - Ports,Moyen
1119,Quelle commande git annule le dernier commit local sans le supprimer ?,git reset --soft HEAD~1,git revert HEAD,git rm --cached,git reset --hard HEAD~1,A,--soft revient au commit précédent en gardant les modifications staged.,Outils - Git,Moyen
1120,Quel design pattern permet d'assurer qu'une classe n'a qu'une instance ?,Singleton,Factory,Observer,Decorator,A,Singleton garantit une unique instance.,Design patterns,Moyen
1121,Quelle commande affiche les processus en cours ? (v0),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1122,Quelle commande change les permissions d'un fichier ? (v0),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1123,Quelle commande montre l'utilisation disque ? (v0),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1124,Quelle commande affiche les processus en cours ?,ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1125,Quelle commande change les permissions d'un fichier ?,chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1126,Quelle commande montre l'utilisation disque ?,df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1142,Quelle commande affiche les processus en cours ? (v7),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1143,Quelle commande change les permissions d'un fichier ? (v7),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1144,Quelle commande montre l'utilisation disque ? (v7),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1163,Quelle commande affiche les processus en cours ? (v14),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
